pill,stim,null_roc,test_roc
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6333656644034917,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.635305528612997,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6333656644034917,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.635305528612997,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6333656644034917,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6333656644034917,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.635305528612997,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6333656644034917,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
placebo,tool,0.6343355965082444,0.6653734238603298
